RIC,Trade Date,Open Price,High Price,Low Price,Universal Close Price,Volume
EUR=,1999-09-14,1.0416,1.0442,1.0316,1.0355,
EUR=,1999-09-13,1.0353,1.0427,1.0296,1.0423,
EUR=,1999-09-10,1.0536,1.0562,1.0347,1.0359,
EUR=,1999-09-09,1.0596,1.0634,1.0522,1.054,
EUR=,1999-09-08,1.0588,1.0644,1.0562,1.0598,
EUR=,1999-09-07,1.057,1.0601,1.0512,1.0587,
EUR=,1999-09-06,1.0575,1.0619,1.0568,1.058,
EUR=,1999-09-03,1.068,1.0722,1.0584,1.061,
EUR=,1999-09-02,1.0574,1.073,1.055,1.0686,
EUR=,1999-09-01,1.0564,1.0638,1.0555,1.0581,
EUR=,1999-08-31,1.0495,1.0608,1.048,1.0562,
EUR=,1999-08-30,1.0475,1.0485,1.0432,1.0483,
EUR=,1999-08-27,1.0456,1.0485,1.042,1.0463,
EUR=,1999-08-26,1.0429,1.0471,1.0408,1.0456,
EUR=,1999-08-25,1.0535,1.0547,1.0404,1.042,
EUR=,1999-08-24,1.0493,1.055,1.039,1.0543,
EUR=,1999-08-23,1.0669,1.0676,1.0461,1.0487,
EUR=,1999-08-20,1.0631,1.0689,1.062,1.0674,
EUR=,1999-08-19,1.052,1.0646,1.0455,1.0641,
EUR=,1999-08-18,1.0508,1.056,1.0496,1.0516,
EUR=,1999-08-17,1.058,1.0583,1.0487,1.0505,
EUR=,1999-08-16,1.0571,1.06,1.0544,1.058,
EUR=,1999-08-13,1.067,1.0697,1.0554,1.0558,
EUR=,1999-08-12,1.0653,1.0681,1.062,1.0676,
EUR=,1999-08-11,1.0705,1.0724,1.0639,1.0653,
EUR=,1999-08-10,1.072,1.0766,1.0696,1.0703,
EUR=,1999-08-09,1.0725,1.0735,1.0678,1.0721,
EUR=,1999-08-06,1.0755,1.0795,1.0718,1.0731,
EUR=,1999-08-05,1.0775,1.0826,1.074,1.0755,
EUR=,1999-08-04,1.0678,1.0796,1.0667,1.0772,
EUR=,1999-08-03,1.0681,1.0705,1.0626,1.0675,
EUR=,1999-08-02,1.068,1.0707,1.0625,1.068,
EUR=,1999-07-30,1.071,1.0744,1.0672,1.0705,
EUR=,1999-07-29,1.0662,1.074,1.065,1.0722,
EUR=,1999-07-28,1.0632,1.0691,1.0586,1.0662,
